video,message,label,stratified_purpose
non_hate_1,"User1: Hey guys, what's up? User2: Not much, just finished watching the latest episode of ""The Witcher"". Have you seen it? User3: I've been meaning to start that! I've heard it's really good. User1: It's one of my favorite shows! I definitely recommend it. I've been a fan of Henry Cavill since his Superman days. User2: Speaking of movies, have you guys seen the new Spiderman movie? User3: Yeah, I saw it in theaters last week. I thought it was really well done! User1: I still need to go see it, maybe I'll go this weekend. User2: You won't regret it, it's worth it! User3: For sure. Have you guys been to any good concerts lately? User1: I saw The Weeknd live last month. The performance was incredible. User2: Lucky! I love his music. I've been stuck in the office lately, haven't had much time for fun stuff. User3: I know that feeling. On the bright side, my cooking skills have improved. Made a killer lasagna last night. User1: I wish I could cook. My meals are mostly takeouts. User2: You should try cooking, it's quite therapeutic. User3: True. Plus, it's a great way to impress a date! User1: I'll consider that. Did you guys hear about the new Apple VR headset? User2: Yeah, I read about it. Looks quite promising! User3: I'm more excited about the potential of VR in general. Imagine being able to visit any place in the world, from your living room. User1: That would be amazing. There's so much of the world I want to see. User2: Same here. Traveling is one of my favorite hobbies. User3: Speaking of travel, I'm going to Bali next month. Any recommendations? User1: Bali is beautiful! Make sure to visit Ubud and try the local cuisine. User2: That sounds like a dream. Enjoy your trip, User3! User3: Thanks, guys! Let's meet in a VR travel sim sometime. User1: Sounds like a plan! See you guys later.",0,0
non_hate_2,"VRUser1: Hey guys! What's up? Just got off work and wanted to dive into VR for a while. VRUser2: Hi! Just exploring some virtual landscapes. What do you do for work? VRUser1: I'm a graphic designer. How about you? VRUser3: Cool, I'm into coding and a bit of game design myself. VRUser1: Nice, we're all techies here. Speaking of tech, have you guys watched that new show 'Upload'? VRUser2: Yeah, it's quite entertaining! Really interesting concept of digital afterlife. VRUser3: Haven't heard of it. Is it on Netflix? VRUser1: It's on Prime actually. It's a good watch, I recommend it. VRUser2: Speaking of recommendations, have you guys heard the new album by Coldplay? VRUser3: Not yet, is it good? VRUser1: I love it, been listening on repeat. 'Higher Power' is my favorite track so far. VRUser2: I'll definitely give it a try. By the way, anyone of you into cooking? VRUser3: I do enjoy it. I've been experimenting with some Italian recipes lately. VRUser1: I can barely boil an egg. But I enjoy eating though, especially Japanese food. VRUser2: I've always wanted to visit Japan, for the food and the culture. VRUser3: Me too, and their tech scene is also fascinating. VRUser1: Talking about tech, have you guys tried the new zero gravity VR experience? VRUser2: Not yet, but sounds interesting! VRUser3: I have, it's out of this world. You guys should definitely try it out. VRUser1: I'll put it on my list. I think VR is the closest I can get to travelling nowadays. VRUser2: True that! It's amazing how technology can help us explore and connect in these times. VRUser3: Agreed. On that note, let's meet up in the VR world tour next time. VRUser1: Sounds like a plan. Looking forward to it! VRUser2: Me too, catch you guys later! VRUser3: See you around!",0,0
non_hate_3,"User1: Hey guys, anyone catch the latest episode of The Mandalorian? User2: Yeah, I did! I think it's one of their best episodes yet. What did you think? User1: I loved it! The storyline is getting really intense. User3: I'm still on season 1 guys, no spoilers please! User2: Fair enough, User3. But, you really need to catch up! User1: Agreed. Anyway, changing the subject, anyone been to any good concerts lately? User3: Yeah, I went to see Tame Impala live last week. It was amazing! User2: Wow, I'm so jealous. I've been listening to their latest album non-stop. User1: Sounds great, I'll have to check them out. User3: You definitely should, User1. They have a unique sound. User1: Thanks for the recommendation, User3. So, what's everyone been up to in their daily life? User2: Just the usual, work and hobbies. I've been trying to improve my cooking skills lately. User1: Oh, cooking! What's your favorite dish to prepare? User2: I've been really into making homemade pasta lately. It's a bit of a process, but it's so worth it. User3: That sounds delicious, User2. I love pasta. User1: Me too, User3. I'll have to give it a try. User2: Definitely. It's a fun activity and the result is always tasty. User1: Sounds like a plan. So, guys, any interesting VR experiences recently? User3: I've been exploring VR travel apps. It's so cool to be able to visit different places without leaving your home. User2: That sounds really interesting, User3. Any places you'd recommend? User3: Definitely check out the tour of Rome. It's like you're really there. User1: That sounds awesome, User3. I'll have to check it out. User2: Me too. Thanks for the recommendation, User3. User3: No problem, guys. It's always fun to share cool finds.",0,0
non_hate_4,"User1: Hey guys, what's new? User2: Not much, just got off work. You? User3: Same here. Just finished watching the latest episode of Stranger Things. It's so good! User1: I love that show! I haven't watched the new season yet though. User2: I'm more of a Breaking Bad guy myself, but I've heard good things about Stranger Things. User3: It's really good, you should check it out. Speaking of shows, has anyone been watching any good concerts lately? User1: I saw Coldplay's recent live stream concert. It was amazing. User2: Oh, I'm a big Coldplay fan! I've been listening to their new album lately. User3: I've never been to a concert, but I'd love to go to one someday. User1: You should definitely go when you get the chance, it's an incredible experience. User2: Agreed. By the way, have any of you traveled anywhere interesting lately? User3: I just got back from a trip to Japan. It was amazing, especially the food. User1: That sounds awesome! I've always wanted to go to Japan. I love cooking Japanese food. User2: That's cool! I'm terrible at cooking, but I love eating. User3: You should try out cooking, it's really fun. And the best part is you get to eat what you make! User1: Absolutely, I could give you some easy recipes to start with. User2: I might take you up on that. On a different note, have you guys heard about the new VR technology that's coming out? User3: Yeah, I've heard it's supposed to be really immersive. User1: I'm excited to try it out. I love how far VR has come. User2: Me too. It's amazing how it lets us have conversations like this from all over the world. User3: Definitely. It's always great catching up with you guys. User1: Agreed. Same time next week? User2: Sounds good to me! User3: Me too. See you guys then!",0,0
non_hate_5,"User1: Hey guys, have you watched the latest episode of Stranger Things? User2: No, but I heard it's pretty good. I'm still trying to catch up on the previous seasons. User3: I've seen it! They've really outdone themselves this time. User1: Right? I love it when a show just keeps getting better. User2: Speaking of better, have you guys listened to Adele's new album yet? User3: Yes, her voice is just amazing. I was lucky enough to see her live once. User1: Really? That must have been incredible! I've never been to a concert. User2: You should definitely try it sometime. There's nothing quite like live music. User3: Agreed. And speaking of trying new things, I've been learning how to cook recently. User1: That's awesome! What's your favorite dish to prepare? User3: I've been really into Thai food lately. I've been trying to perfect my Pad Thai. User2: That sounds delicious, you'll have to share your recipe sometime. User1: Definitely. And maybe you can teach me some cooking tips in VR. I heard there's a new cooking simulation game out. User2: That's a great idea! It would be a fun way to practice. User3: For sure. By the way, did you guys hear about the new VR headset that's coming out? User1: Yeah, I've heard some rumors. But I love my current setup, I'm not sure if I should upgrade. User2: Same here. But I'm excited to see what improvements they've made. User3: Yeah, it's always exciting to see how technology is advancing. User1: Speaking of advancements, have you guys traveled anywhere lately? I'm planning my next vacation and could use some inspiration. User2: I just got back from a trip to Japan. It was amazing! User3: Wow, I've always wanted to go there. What was your favorite part? User2: Definitely the food. And the culture is just so rich and interesting. User1: Sounds like a great experience. I'll definitely consider it. Thanks for the recommendation.",0,0
non_hate_6,"User1: Hey guys, have you watched the latest Marvel movie? User2: Hi User1, not yet. Is it good? User1: Oh, it's amazing! I think it's one of the best so far. User3: Really? I've been planning to watch it this weekend. No spoilers, please! User1: Don't worry, no spoilers. But I do recommend it. User2: Speaking of recommendations, have you heard the new album from The Weeknd? User3: Yeah, it's on my playlist. I love his music. I can't wait for his next concert. User1: I totally agree, his music is great. I wish I could attend one of his concerts. User2: Yeah, concerts are so much fun. Can't wait for things to get back to normal. User3: True. I've been itching to travel again. Miss the beach and the good food. User1: Speaking of food, have you guys tried cooking anything new lately? User2: I've been trying to bake bread. It's not easy, but it's fun. User3: That's cool. I've been learning to make sushi. It's a bit tricky, but really satisfying. User1: Wow, that sounds fun. We should start a cooking club in VR. User2: That's a great idea! We could share recipes and cooking tips. User3: I'm in! By the way, have you guys tried the new VR game from Oculus? User1: Not yet, is it good? User3: Yes, it's really immersive and the graphics are amazing. User2: I'll check it out. Thanks for the recommendation. User1: You're welcome. It's always fun to discover new things together. User3: Definitely. Can't wait for our next VR chat. User2: Me too. See you guys next time. User1: Bye guys, take care!",0,0
non_hate_7,"User1: Hey guys, just finished watching the latest episode of Stranger Things. Anyone else watching it? User2: I've been meaning to catch up on it, but work's been crazy. How is the new season so far? User1: I'm really enjoying it. It’s a bit darker than the previous seasons, but still very good. You should definitely make time for it. User3: You guys are making me feel left out. I've never watched Stranger Things. I'm more into music than TV shows. User2: Oh really? What kind of music are you into? User3: I like a bit of everything but lately, I've been into indie rock. Just went to a Tame Impala concert last week. User1: That's cool. I've heard a few of their songs. They're pretty good. User2: I'm more of a pop music fan myself. Speaking of concerts, have any of you tried the VR concert experiences? User3: I have, it’s quite something. It’s like you're right there in the front row. User1: That sounds amazing. I'll have to check it out. User2: Yeah, I love how VR is changing the way we experience things. Makes me wonder what's next. User3: Right? It’s not just entertainment, even daily life stuff like cooking is fun in VR. User1: Speaking of cooking, I tried this new Italian recipe yesterday. It turned out great. User2: Oh, I love Italian food! Can you share the recipe? User1: Sure, I’ll send it over. It’s a simple spaghetti carbonara. User3: Sounds delicious. I might give it a try over the weekend. User2: Thanks for the recipe, User1. I think I'll try it too. User1: No problem. Let me know how it turns out. User2: Definitely. By the way, any of you planning any trips soon? User3: I’m planning a trip to Japan next month. Really excited about it. User1: Japan, nice. Make sure to try the sushi there. It's amazing. User2: And don't forget to visit Akihabara if you're into tech stuff. User3: Thanks for the",0,0
non_hate_8,"User1: Hey there, how's it going, guys? User2: Pretty good, just got off work. How about you, User3? User3: Yeah, same here. Just chilling in VR for a bit before I start dinner. User1: What's on the menu tonight, User3? User3: I'm thinking of trying out this new Thai recipe I found online. It's called Pad Krapow. User2: Sounds spicy! I'm a big fan of Thai food. You got to share the recipe if it turns out good. User3: Definitely, will do. What about you, User1? What's your favorite cuisine? User1: Hmm, I'd have to say Italian. Nothing beats a good pasta. User2: Ah, a classic choice. Speaking of Italy, have any of you guys been there? User1: I wish! It's definitely on my bucket list though. User3: Mine too. I'd love to see Rome and Venice in person someday. User2: Same here. By the way, have you guys watched that new show on Netflix, ""The Crown""? User1: Not yet, is it any good? User2: Absolutely, it's really well done. If you're into historical dramas, you'll love it. User3: I'll add it to my list. I'm currently watching ""Breaking Bad"". It's a bit old but really addictive. User1: Oh, I love that one! Wait till you get to the final season. User2: On a different note, have you guys tried the new VR update? The graphics are so realistic now. User1: Yeah, it's amazing! VR technology has come such a long way. User3: I agree. It's so immersive now. I sometimes forget I'm in a virtual world. User2: Totally, can't wait to see what they come up with next. User1: On that note, I'm going to head out. Catch you guys later! User2: See ya, User1. Enjoy your evening. User3: Bye, User1. Don't forget to try out ""The Crown""!",0,0
non_hate_9,"User1: Hey guys, how's it going? User2: Doing good, User1. Just trying to figure out how to make a proper lasagna. User3: Cooking, huh? That's a tough one. I usually stick to takeout. User1: I've been getting into cooking too. Lasagna is a bit tricky, but it's so rewarding when you get it right. User2: Any tips or secret ingredients, User1? User1: Not really a secret, but I use a mix of beef and Italian sausage. And plenty of garlic, of course. User3: Sounds delicious. Speaking of Italian, have any of you guys seen the new season of ""The Sopranos""? User2: I haven't seen it yet. Is it good? User3: It's pretty solid. Definitely worth a watch if you're into gangster dramas. User1: I'm more of a comedy guy. Been watching ""Brooklyn Nine-Nine"" lately. User3: Oh, I love that show! Andy Samberg is hilarious. User1: Totally. Hey, have you guys tried the new VR concert experience? It's like you're right there on stage with the band. User2: I heard about that. Sounds amazing. Who have you seen? User1: I saw Imagine Dragons. It was incredible. Felt so real. User3: That sounds awesome. I'm going to have to check that out. User1: You should. It's a game-changer. Also, speaking of VR, have you guys tried the new Star Wars VR game? User2: Not yet, but I'm a huge Star Wars fan. Is it worth it? User1: Absolutely. It's like you're really in the Star Wars universe. User3: I'm sold. I'll try both the concert and the Star Wars game. Thanks for the recommendations, guys. User1: No problem, happy to help. Also, once the world gets back to normal, where do you guys plan to travel first? User2: I'm thinking Japan. I've always wanted to visit Tokyo. User3: That sounds great. I'd love to go to New Zealand. It's beautiful there. User1: Those sound like fantastic choices. I've been dreaming of a",0,0
non_hate_10,"User1: Hey guys! Have you seen the latest episode of ""The Mandalorian""? User2: Yeah, I watched it last night. The plot twists are amazing, aren't they? User3: I haven't seen it yet. No spoilers, please! User1: No problem, User3. You're gonna love it though! Have you guys listened to the new album by The Weeknd? User2: I haven't gotten around to it. How is it? User1: It's amazing. He's really outdone himself this time. User3: That sounds promising. I'll check it out tonight while I'm cooking dinner. User2: Speaking of cooking, I tried this new lasagna recipe yesterday. It was the best I've ever made. User1: Sounds delicious, User2! Could you share the recipe? User2: Sure, I'll send it to you guys after our chat. User3: Thanks, User2. I've been looking for a good lasagna recipe. So, anybody planning on traveling after things get better? User1: Yeah, I've been planning a trip to Japan for ages. Can't wait to experience the culture and the food. User3: That sounds awesome. I've always wanted to see Tokyo. User2: Same here, guys. Once we're able to travel, we should plan a VR meet-up in Japan! User1: That's a great idea, User2. Imagine experiencing cherry blossoms in full bloom in VR! User3: That would be amazing. By the way, what VR games have you guys been playing lately? User2: I've been playing ""Beat Saber"" quite a lot. The immersion is just incredible. User1: I'm more into ""Superhot VR"" these days. It's like living in a Matrix movie. User3: Both of them sound fun. I've been playing ""Job Simulator."" It's surprisingly entertaining. User2: I heard about that one. I'll have to give it a try. User1: Let's all try a new game and discuss it next time. Sounds like a plan? User3: Sounds like a plan, User1. Catch you guys later! User2: Bye guys, take care and happy gaming!",0,0
